time,filtered_emg,gesture
0.0,-1,0
0.1,-1,0
0.2,-1,0
0.301,-1,0
0.401,2,0
0.501,3,0
0.602,4,0
0.702,7,0
0.802,8,0
0.903,9,0
1.003,11,0
1.103,10,0
1.205,10,0
1.305,9,0
1.405,10,0
1.506,11,0
1.606,12,0
1.707,12,0
1.807,11,0
1.907,14,0
2.008,14,0
2.109,16,0
2.209,18,0
2.31,23,0
2.41,25,0
2.51,28,0
2.611,30,0
2.711,33,0
2.811,37,0
2.913,37,0
3.013,37,0
3.113,41,0
3.214,44,0
3.314,45,0
3.415,52,0
3.515,57,0
3.615,59,0
3.717,63,0
3.817,72,1
3.917,88,1
4.018,99,1
4.118,104,1
4.218,101,1
4.319,97,1
4.419,92,1
4.519,93,1
4.621,91,1
4.721,82,1
4.822,80,1
4.922,63,0
5.022,62,0
5.123,65,0
5.223,79,1
5.323,98,1
5.425,107,1
5.525,115,1
5.625,129,1
5.726,137,1
5.826,137,1
5.926,141,1
6.027,136,1
6.127,129,1
6.228,114,1
6.329,96,1
6.429,84,1
6.53,64,0
6.63,50,0
6.73,41,0
6.831,31,0
6.931,25,0
7.031,19,0
7.133,14,0
7.233,11,0
7.333,9,0
7.434,8,0
7.534,8,0
7.634,6,0
7.735,5,0
7.835,5,0
7.937,6,0
8.037,5,0
8.137,5,0
8.238,5,0
8.338,5,0
8.438,6,0
8.539,6,0
8.639,8,0
8.74,10,0
8.841,12,0
8.941,12,0
9.041,13,0
9.142,15,0
9.242,18,0
9.342,21,0
9.443,23,0
9.543,30,0
9.645,38,0
9.745,38,0
9.845,44,0
9.946,63,0
10.046,71,1
10.146,69,1
10.247,76,1
10.348,88,1
10.448,105,1
10.549,115,1
10.649,126,1
10.749,138,1
10.85,139,1
10.951,126,1
11.052,122,1
11.152,123,1
11.252,114,1
11.353,102,1
11.453,82,1
11.553,67,0
11.655,50,0
11.755,39,0
11.855,30,0
11.956,24,0
12.056,21,0
12.156,20,0
12.258,19,0
12.358,17,0
12.459,17,0
12.559,13,0
12.659,10,0
12.76,7,0
