time,filtered_emg,gesture
22.108,82,Hand is Moving
22.209,82,Hand is Moving
22.309,84,Hand is Moving
22.41,86,Hand is Moving
22.51,83,Hand is Moving
22.61,89,Hand is Moving
22.711,89,Hand is Moving
22.812,99,Hand is Moving
22.913,95,Hand is Moving
23.013,93,Hand is Moving
23.113,91,Hand is Moving
23.214,85,Hand is Moving
23.314,73,Hand is Moving
23.415,66,Hand is Moving
23.516,53,Hand is Moving
23.616,38,Hand is at Rest
23.716,24,Hand is at Rest
23.817,15,Hand is at Rest
23.917,12,Hand is at Rest
24.018,13,Hand is at Rest
24.119,16,Hand is at Rest
24.219,17,Hand is at Rest
24.32,18,Hand is at Rest
24.42,21,Hand is at Rest
24.52,25,Hand is at Rest
24.622,33,Hand is at Rest
24.722,41,Hand is Moving
24.822,40,Hand is at Rest
24.923,46,Hand is Moving
25.023,61,Hand is Moving
25.123,71,Hand is Moving
25.224,73,Hand is Moving
25.325,82,Hand is Moving
25.425,85,Hand is Moving
25.526,96,Hand is Moving
25.626,97,Hand is Moving
25.726,94,Hand is Moving
25.827,105,Hand is Moving
25.928,99,Hand is Moving
26.029,100,Hand is Moving
26.129,109,Hand is Moving
26.229,127,Hand is Moving
26.33,135,Hand is Moving
26.43,142,Hand is Moving
26.531,136,Hand is Moving
26.632,139,Hand is Moving
26.732,135,Hand is Moving
26.832,125,Hand is Moving
26.933,124,Hand is Moving
27.033,108,Hand is Moving
27.134,86,Hand is Moving
27.235,63,Hand is Moving
27.335,45,Hand is Moving
27.436,31,Hand is at Rest
27.536,21,Hand is at Rest
27.636,11,Hand is at Rest
27.738,17,Hand is at Rest
27.838,27,Hand is at Rest
27.938,34,Hand is at Rest
28.039,41,Hand is Moving
28.139,52,Hand is Moving
28.239,56,Hand is Moving
28.34,56,Hand is Moving
28.441,63,Hand is Moving
28.541,68,Hand is Moving
28.642,74,Hand is Moving
28.742,70,Hand is Moving
28.843,63,Hand is Moving
28.943,61,Hand is Moving
29.044,57,Hand is Moving
29.145,55,Hand is Moving
29.245,65,Hand is Moving
29.345,78,Hand is Moving
29.446,85,Hand is Moving
29.546,91,Hand is Moving
29.647,90,Hand is Moving
29.748,94,Hand is Moving
29.848,91,Hand is Moving
29.948,89,Hand is Moving
30.049,91,Hand is Moving
30.149,84,Hand is Moving
30.251,70,Hand is Moving
30.351,55,Hand is Moving
30.451,43,Hand is Moving
30.552,33,Hand is at Rest
30.652,26,Hand is at Rest
30.752,22,Hand is at Rest
30.854,19,Hand is at Rest
30.954,15,Hand is at Rest
31.054,14,Hand is at Rest
31.155,27,Hand is at Rest
31.255,40,Hand is at Rest
31.355,50,Hand is Moving
31.457,61,Hand is Moving
31.557,62,Hand is Moving
31.657,65,Hand is Moving
31.758,71,Hand is Moving
31.858,83,Hand is Moving
31.959,94,Hand is Moving
32.06,91,Hand is Moving
32.16,76,Hand is Moving
32.261,66,Hand is Moving
32.361,61,Hand is Moving
32.461,54,Hand is Moving
32.562,63,Hand is Moving
32.662,72,Hand is Moving
32.763,76,Hand is Moving
32.864,75,Hand is Moving
32.964,70,Hand is Moving
33.064,69,Hand is Moving
33.165,70,Hand is Moving
33.265,71,Hand is Moving
33.367,69,Hand is Moving
33.467,64,Hand is Moving
33.567,53,Hand is Moving
33.668,42,Hand is Moving
33.768,33,Hand is at Rest
33.868,23,Hand is at Rest
33.97,18,Hand is at Rest
34.07,18,Hand is at Rest
34.17,16,Hand is at Rest
34.271,12,Hand is at Rest
34.371,10,Hand is at Rest
34.471,9,Hand is at Rest
34.573,9,Hand is at Rest
34.673,7,Hand is at Rest
34.774,7,Hand is at Rest
34.874,6,Hand is at Rest
34.974,15,Hand is at Rest
35.075,26,Hand is at Rest
35.175,37,Hand is at Rest
35.276,50,Hand is Moving
35.377,64,Hand is Moving
35.477,67,Hand is Moving
35.577,68,Hand is Moving
35.678,78,Hand is Moving
35.778,81,Hand is Moving
35.879,87,Hand is Moving
35.98,84,Hand is Moving
36.08,87,Hand is Moving
36.18,76,Hand is Moving
36.281,76,Hand is Moving
36.381,80,Hand is Moving
36.483,97,Hand is Moving
36.583,116,Hand is Moving
36.683,126,Hand is Moving
36.784,137,Hand is Moving
36.884,136,Hand is Moving
36.984,130,Hand is Moving
