time,filtered_emg,gesture
7.519,31,Hand is at Rest
7.569,35,Hand is at Rest
7.62,41,Hand is at Rest
7.67,49,Hand is at Rest
7.72,55,Hand is at Rest
7.772,57,Hand is at Rest
7.822,56,Hand is at Rest
7.872,57,Hand is at Rest
7.922,55,Hand is at Rest
7.973,48,Hand is at Rest
8.024,42,Hand is at Rest
8.074,36,Hand is at Rest
8.125,30,Hand is at Rest
8.175,24,Hand is at Rest
8.225,17,Hand is at Rest
8.275,12,Hand is at Rest
8.327,11,Hand is at Rest
8.377,10,Hand is at Rest
8.427,10,Hand is at Rest
8.478,11,Hand is at Rest
8.528,10,Hand is at Rest
8.579,10,Hand is at Rest
8.63,9,Hand is at Rest
8.68,9,Hand is at Rest
8.73,9,Hand is at Rest
8.78,9,Hand is at Rest
8.832,8,Hand is at Rest
8.882,8,Hand is at Rest
8.932,7,Hand is at Rest
8.983,8,Hand is at Rest
9.033,7,Hand is at Rest
9.083,8,Hand is at Rest
9.134,8,Hand is at Rest
9.185,7,Hand is at Rest
9.235,7,Hand is at Rest
9.285,7,Hand is at Rest
9.336,8,Hand is at Rest
9.387,8,Hand is at Rest
9.437,10,Hand is at Rest
9.487,11,Hand is at Rest
9.538,11,Hand is at Rest
9.588,13,Hand is at Rest
9.638,13,Hand is at Rest
9.69,14,Hand is at Rest
9.74,14,Hand is at Rest
9.79,16,Hand is at Rest
9.841,17,Hand is at Rest
9.891,18,Hand is at Rest
9.942,20,Hand is at Rest
9.992,22,Hand is at Rest
10.043,28,Hand is at Rest
10.093,29,Hand is at Rest
10.143,27,Hand is at Rest
10.194,27,Hand is at Rest
10.245,31,Hand is at Rest
10.295,32,Hand is at Rest
10.346,32,Hand is at Rest
10.396,34,Hand is at Rest
10.446,33,Hand is at Rest
10.498,34,Hand is at Rest
10.548,34,Hand is at Rest
10.598,43,Hand is at Rest
10.649,54,Hand is at Rest
10.699,66,Hand is at Rest
10.749,70,Hand is at Rest
10.801,77,Hand is at Rest
10.851,84,Hand is at Rest
10.901,89,Hand is at Rest
10.952,94,Hand is at Rest
11.002,105,Hand is at Rest
11.053,103,Hand is at Rest
11.104,96,Hand is at Rest
11.154,96,Hand is at Rest
11.204,100,Hand is at Rest
11.255,112,Hand is Moving
11.305,126,Hand is Moving
11.356,147,Hand is Moving
11.407,162,Hand is Moving
11.457,176,Hand is Moving
11.507,180,Hand is Moving
11.558,190,Hand is Moving
11.609,198,Hand is Moving
11.659,197,Hand is Moving
11.71,185,Hand is Moving
11.76,168,Hand is Moving
11.81,146,Hand is Moving
11.862,118,Hand is Moving
11.912,94,Hand is at Rest
11.962,75,Hand is at Rest
12.013,59,Hand is at Rest
12.063,44,Hand is at Rest
12.113,32,Hand is at Rest
12.165,22,Hand is at Rest
12.215,19,Hand is at Rest
12.265,15,Hand is at Rest
12.316,15,Hand is at Rest
12.366,16,Hand is at Rest
12.417,16,Hand is at Rest
12.468,14,Hand is at Rest
12.518,11,Hand is at Rest
12.568,13,Hand is at Rest
12.619,14,Hand is at Rest
12.669,15,Hand is at Rest
12.72,15,Hand is at Rest
12.771,16,Hand is at Rest
12.821,14,Hand is at Rest
12.871,15,Hand is at Rest
12.922,14,Hand is at Rest
12.973,13,Hand is at Rest
13.023,13,Hand is at Rest
13.074,12,Hand is at Rest
13.124,10,Hand is at Rest
13.174,10,Hand is at Rest
13.225,9,Hand is at Rest
13.276,10,Hand is at Rest
13.326,10,Hand is at Rest
13.377,9,Hand is at Rest
13.427,9,Hand is at Rest
13.477,11,Hand is at Rest
13.529,10,Hand is at Rest
13.579,11,Hand is at Rest
13.629,11,Hand is at Rest
13.68,10,Hand is at Rest
13.73,11,Hand is at Rest
13.78,12,Hand is at Rest
13.832,13,Hand is at Rest
13.882,15,Hand is at Rest
13.932,14,Hand is at Rest
13.983,16,Hand is at Rest
14.033,16,Hand is at Rest
14.084,16,Hand is at Rest
14.135,19,Hand is at Rest
14.185,23,Hand is at Rest
14.235,25,Hand is at Rest
14.286,27,Hand is at Rest
14.337,32,Hand is at Rest
14.387,37,Hand is at Rest
14.438,46,Hand is at Rest
14.488,53,Hand is at Rest
14.538,65,Hand is at Rest
14.589,77,Hand is at Rest
14.64,87,Hand is at Rest
14.69,92,Hand is at Rest
14.741,104,Hand is at Rest
14.791,112,Hand is Moving
14.841,110,Hand is Moving
14.893,104,Hand is at Rest
14.943,108,Hand is Moving
14.993,110,Hand is Moving
15.044,116,Hand is Moving
15.094,123,Hand is Moving
15.144,135,Hand is Moving
15.196,146,Hand is Moving
15.246,152,Hand is Moving
15.296,152,Hand is Moving
15.347,164,Hand is Moving
15.397,171,Hand is Moving
15.448,165,Hand is Moving
15.499,156,Hand is Moving
15.549,138,Hand is Moving
15.599,117,Hand is Moving
15.65,95,Hand is at Rest
15.7,76,Hand is at Rest
