time,filtered_emg,gesture
0.0,-1,0
0.05,-1,0
0.1,-1,0
0.15,-1,0
0.2,0,0
0.25,0,0
0.302,0,0
0.352,0,0
0.402,1,0
0.452,1,0
0.503,2,0
0.553,2,0
0.604,2,0
0.654,2,0
0.705,2,0
0.755,4,0
0.805,6,0
0.856,10,0
0.907,10,0
0.957,10,0
1.007,11,0
1.057,11,0
1.108,12,0
1.159,12,0
1.209,15,0
1.259,20,0
1.31,24,0
1.36,30,0
1.411,36,0
1.462,45,1
1.512,59,1
1.562,69,1
1.613,70,1
1.664,73,1
1.714,74,1
1.764,67,1
1.815,63,1
1.865,54,1
1.915,52,1
1.967,48,1
2.017,36,0
2.067,27,0
2.117,31,0
2.168,32,0
2.219,35,0
2.269,46,1
2.32,54,1
2.37,66,1
2.42,63,1
2.47,58,1
2.522,55,1
2.572,52,1
2.622,52,1
2.673,55,1
2.723,54,1
2.774,46,1
2.825,41,1
2.875,35,0
2.925,34,0
2.975,41,1
3.026,56,1
3.077,64,1
3.127,63,1
3.178,64,1
3.228,67,1
3.278,75,1
3.329,71,1
3.38,69,1
3.43,72,1
3.48,70,1
3.531,63,1
3.581,63,1
3.632,64,1
3.682,57,1
3.733,47,1
3.783,38,1
3.833,40,1
3.885,42,1
3.935,46,1
3.985,48,1
4.036,49,1
4.086,50,1
4.136,53,1
4.187,59,1
4.238,62,1
4.288,69,1
4.338,67,1
4.389,65,1
4.44,61,1
4.49,59,1
4.54,58,1
4.591,57,1
4.641,59,1
4.691,61,1
4.743,66,1
4.793,67,1
4.843,73,1
4.893,74,1
4.944,76,1
4.995,76,1
5.045,73,1
5.096,66,1
5.146,56,1
5.196,47,1
5.248,39,1
5.298,31,0
5.348,25,0
5.398,23,0
5.449,17,0
5.499,14,0
5.55,11,0
5.601,11,0
5.651,11,0
5.701,12,0
5.751,12,0
5.803,12,0
5.853,11,0
5.903,9,0
5.954,9,0
6.004,8,0
6.054,7,0
6.105,7,0
6.156,8,0
6.206,7,0
6.256,7,0
6.307,8,0
6.358,8,0
6.408,8,0
6.459,8,0
6.509,8,0
6.559,8,0
6.609,7,0
6.661,7,0
6.711,7,0
6.761,8,0
6.812,7,0
6.862,6,0
6.913,6,0
6.963,6,0
7.014,6,0
7.064,6,0
7.114,6,0
7.165,6,0
7.216,5,0
7.266,4,0
7.316,4,0
7.367,5,0
7.417,5,0
7.468,5,0
7.519,5,0
7.569,4,0
7.619,5,0
7.67,5,0
7.72,5,0
7.771,6,0
7.821,6,0
7.872,7,0
7.922,7,0
7.972,7,0
8.024,7,0
8.074,7,0
8.124,8,0
8.174,8,0
8.225,8,0
8.275,8,0
8.326,8,0
8.377,7,0
8.427,7,0
8.477,8,0
8.527,10,0
8.579,11,0
8.629,9,0
8.679,9,0
8.73,10,0
8.78,11,0
8.83,14,0
8.882,14,0
8.932,16,0
8.982,17,0
9.032,20,0
9.083,23,0
9.134,25,0
9.184,26,0
9.235,27,0
9.285,26,0
9.335,24,0
9.385,23,0
9.437,21,0
9.487,21,0
9.537,18,0
9.588,17,0
9.638,14,0
9.689,14,0
9.739,17,0
9.79,18,0
9.84,16,0
9.89,17,0
9.942,17,0
9.992,19,0
10.042,22,0
10.093,20,0
10.143,27,0
10.193,38,1
10.245,46,1
10.295,62,1
10.345,69,1
10.396,74,1
10.446,86,1
10.497,86,1
10.548,88,1
10.598,91,1
10.648,91,1
10.699,82,1
10.749,73,1
10.8,59,1
10.851,53,1
10.901,52,1
10.951,41,1
11.002,41,1
11.053,44,1
11.103,46,1
11.154,41,1
11.204,46,1
11.254,51,1
11.305,62,1
11.356,77,1
11.406,92,1
11.457,102,1
11.507,98,1
11.557,103,1
11.609,103,1
11.659,117,1
11.709,124,1
11.76,122,1
11.81,118,1
11.86,104,1
11.912,95,1
11.962,89,1
12.012,93,1
12.063,79,1
12.113,78,1
12.164,67,1
12.215,58,1
12.265,57,1
12.315,59,1
12.366,68,1
12.417,70,1
12.467,77,1
12.518,81,1
12.568,87,1
12.618,84,1
12.669,84,1
12.72,82,1
12.77,77,1
12.821,67,1
12.871,57,1
12.921,44,1
12.973,32,0
13.023,25,0
13.073,23,0
13.124,25,0
13.174,27,0
13.224,27,0
13.276,31,0
13.326,32,0
13.376,37,1
13.427,40,1
13.477,42,1
13.528,46,1
13.579,45,1
13.629,45,1
13.679,45,1
13.73,40,1
13.78,35,0
13.831,35,0
13.882,29,0
13.932,28,0
13.982,28,0
14.033,23,0
14.084,20,0
14.134,14,0
14.185,9,0
14.235,10,0
14.285,11,0
14.337,12,0
14.387,12,0
14.437,13,0
14.488,12,0
14.538,13,0
14.588,15,0
14.64,14,0
14.69,14,0
14.74,14,0
14.791,12,0
14.841,11,0
14.892,11,0
14.943,9,0
14.993,9,0
15.043,8,0
15.094,8,0
15.144,10,0
15.195,9,0
15.246,8,0
15.296,8,0
15.346,8,0
15.397,8,0
15.448,8,0
15.498,8,0
15.549,7,0
15.599,6,0
15.649,5,0
15.7,7,0
15.751,7,0
15.801,6,0
15.852,7,0
15.902,7,0
15.952,7,0
16.004,8,0
16.054,6,0
16.104,6,0
16.155,6,0
16.205,5,0
16.256,5,0
16.307,5,0
16.357,4,0
16.407,4,0
16.458,4,0
16.508,3,0
16.559,4,0
16.61,4,0
16.66,4,0
16.71,4,0
16.76,3,0
16.812,3,0
16.862,4,0
16.912,4,0
16.963,3,0
17.013,4,0
17.063,3,0
17.115,3,0
17.165,3,0
17.215,3,0
17.266,3,0
17.316,3,0
17.367,3,0
17.418,3,0
17.468,3,0
17.518,3,0
17.569,3,0
17.619,2,0
17.67,3,0
17.721,2,0
17.771,3,0
17.821,3,0
17.872,4,0
17.923,3,0
17.973,3,0
18.024,4,0
18.074,4,0
18.124,5,0
18.176,6,0
18.226,8,0
18.276,9,0
18.327,11,0
18.377,13,0
18.427,16,0
18.479,23,0
18.529,26,0
18.579,28,0
18.63,34,0
18.68,41,1
18.731,51,1
18.782,69,1
18.832,87,1
18.882,102,1
18.933,120,1
18.983,141,1
19.034,153,1
19.085,152,1
19.135,147,1
19.185,145,1
19.236,148,1
19.287,137,1
19.337,131,1
19.388,116,1
19.438,97,1
19.488,69,1
19.539,54,1
19.59,56,1
19.64,61,1
19.691,62,1
19.741,53,1
19.791,52,1
19.843,46,1
19.893,55,1
19.943,54,1
19.994,56,1
20.044,60,1
20.094,59,1
20.146,55,1
20.196,51,1
20.246,50,1
20.297,49,1
20.347,41,1
20.398,37,1
20.449,39,1
20.499,48,1
20.549,52,1
20.6,59,1
20.651,65,1
20.701,66,1
20.752,65,1
20.802,60,1
20.852,65,1
20.903,60,1
20.954,57,1
21.004,46,1
21.055,41,1
21.105,33,0
21.155,29,0
21.207,29,0
21.257,27,0
21.307,28,0
21.358,23,0
21.408,25,0
21.458,37,1
21.51,43,1
21.56,45,1
21.61,43,1
21.661,47,1
21.711,50,1
21.762,53,1
21.813,54,1
21.863,54,1
21.913,57,1
21.964,48,1
22.014,50,1
22.065,60,1
22.116,73,1
22.166,78,1
22.216,77,1
22.267,72,1
22.318,77,1
22.368,89,1
22.419,95,1
22.469,98,1
22.519,90,1
