time,filtered_emg,gesture
39.9,44,1
40.0,50,1
40.1,57,1
40.202,60,1
40.302,60,1
40.402,64,1
40.503,59,1
40.603,59,1
40.704,59,1
40.805,60,1
40.905,53,1
41.006,43,1
41.106,37,0
41.206,32,0
41.307,32,0
41.408,29,0
41.508,31,0
41.609,32,0
41.709,31,0
41.809,47,1
41.91,57,1
42.011,67,1
42.112,68,1
42.212,70,1
42.312,69,1
42.413,71,1
42.513,84,1
42.614,87,1
42.715,94,1
42.815,79,1
42.915,71,1
43.016,62,1
43.116,61,1
43.216,65,1
43.318,70,1
43.418,76,1
43.518,68,1
43.619,68,1
43.719,58,1
43.82,50,1
43.921,51,1
44.021,53,1
44.122,55,1
44.222,50,1
44.322,41,1
44.423,30,0
44.524,24,0
44.624,21,0
44.725,22,0
44.825,23,0
44.925,18,0
45.026,15,0
45.127,12,0
45.228,14,0
45.328,22,0
45.428,30,0
45.529,33,0
45.629,37,0
45.73,37,0
45.831,40,0
45.931,45,1
46.031,53,1
46.132,65,1
46.232,74,1
46.333,74,1
46.434,70,1
46.534,80,1
46.635,96,1
46.735,116,1
46.835,135,1
46.936,150,1
47.037,157,1
47.137,151,1
47.238,139,1
47.338,134,1
47.438,133,1
47.539,120,1
47.64,102,1
47.74,80,1
47.841,59,1
47.941,41,1
48.041,26,0
48.142,20,0
48.243,19,0
48.344,18,0
48.444,15,0
48.544,14,0
48.645,15,0
48.745,24,0
48.846,32,0
48.947,35,0
49.047,40,0
49.147,45,1
49.248,53,1
49.348,58,1
49.449,61,1
49.55,65,1
49.65,69,1
49.751,78,1
49.851,85,1
49.951,96,1
50.053,94,1
50.153,108,1
50.253,125,1
50.354,147,1
50.454,171,1
50.554,189,1
50.656,205,1
50.756,197,1
50.856,184,1
50.957,170,1
51.057,169,1
51.158,151,1
51.259,126,1
51.359,100,1
51.46,72,1
51.56,52,1
51.66,30,0
51.761,21,0
51.861,27,0
51.962,30,0
52.063,40,0
52.163,51,1
52.263,70,1
52.364,85,1
52.464,91,1
52.566,101,1
52.666,114,1
52.766,125,1
52.867,127,1
52.967,125,1
53.067,122,1
53.169,116,1
53.269,103,1
53.369,97,1
53.47,102,1
53.57,104,1
53.67,105,1
53.772,103,1
53.872,102,1
53.972,106,1
54.073,102,1
54.173,97,1
54.274,93,1
54.375,84,1
54.475,74,1
54.576,63,1
54.676,50,1
54.776,42,1
54.877,34,0
54.977,28,0
55.078,24,0
55.179,22,0
55.279,22,0
55.379,21,0
55.48,21,0
55.58,20,0
55.682,22,0
55.782,23,0
55.882,26,0
55.983,30,0
56.083,32,0
56.183,35,0
56.285,37,0
56.385,53,1
56.485,73,1
56.586,85,1
56.686,91,1
56.786,110,1
56.888,132,1
56.988,154,1
57.089,177,1
57.189,200,1
57.289,220,1
57.39,214,1
57.491,193,1
57.591,183,1
57.692,175,1
57.792,152,1
57.892,126,1
57.993,99,1
58.094,75,1
58.194,48,1
58.295,30,0
58.395,22,0
58.496,32,0
58.596,43,1
58.697,53,1
58.798,55,1
58.898,60,1
58.998,61,1
59.099,66,1
59.199,72,1
59.3,74,1
59.401,74,1
59.501,70,1
59.601,65,1
59.702,54,1
59.802,69,1
59.904,78,1
60.004,88,1
60.104,100,1
60.205,116,1
60.305,132,1
60.405,153,1
60.506,170,1
60.607,181,1
60.707,185,1
60.808,171,1
60.908,158,1
61.008,147,1
61.109,126,1
61.21,103,1
61.31,80,1
61.411,57,1
61.511,35,0
