0,324
100,389
200,369
301,360
401,309
501,309
602,308
702,365
802,430
903,608
1003,474
1103,429
1205,303
1305,392
1405,423
1506,401
1606,429
1707,505
1807,378
1907,378
2009,317
2109,261
2209,170
2310,154
2410,167
2510,186
2611,202
2711,217
2811,236
2913,249
3013,256
3113,220
3214,225
3314,225
3415,238
3515,220
3615,229
3717,227
3817,331
3917,338
4018,415
4118,479
4218,413
4319,420
4419,366
4520,531
4621,443
4721,401
4822,431
4922,408
5022,459
5123,350
5223,370
5323,330
5425,303
5525,251
5625,171
5726,168
5826,177
5926,203
6027,236
6127,234
6228,244
6329,238
6429,223
6530,213
6630,238
6730,243
6831,238
6931,221
7032,229
7133,229
7233,221
7333,232
7434,307
7534,271
7634,361
7735,357
7835,318
7937,410
8037,394
8137,420
8238,403
8338,539
8438,441
8539,335
8639,399
8740,494
8841,400
8941,488
9041,319
9142,400
9242,249
9342,162
9443,171
9544,202
9645,217
9745,234
9845,238
9946,217
10046,204
10146,212
10247,242
10348,248
10448,228
10549,223
10649,212
10749,222
10850,216
10951,228
11052,229
11152,227
11252,224
11353,226
11453,221
11554,221
11655,200
11755,188
11855,206
11956,215
12056,219
12156,212
12258,215
12358,217
12459,234
12559,263
12659,256
12760,285
12861,298
12961,394
13062,324
13162,408
13262,330
13363,384
13464,384
13564,484
13665,432
13765,365
13865,314
13966,314
14067,347
14168,304
14268,302
14368,421
14469,161
14569,132
14670,154
14771,179
14871,201
14971,214
15072,239
15172,250
15272,236
15374,240
15474,229
15575,225
15675,224
15775,223
15876,228
15977,235
16077,223
16178,234
16278,231
16378,229
16479,227
16580,427
16680,333
16781,424
16881,373
16982,436
17082,452
17183,419
17284,442
17384,451
17484,410
17585,319
17685,343
17786,346
17887,249
17987,325
18087,417
18188,439
18288,338
18388,218
18490,180
18590,162
18691,133
18791,161
18891,199
18992,205
19093,219
19193,203
19294,190
19394,206
19494,211
19595,215
19696,218
19796,211
19897,212
19997,210
20098,209
20198,204
20299,206
20400,197
20500,207
20600,207
20701,217
20801,267
20902,290
21003,276
21103,242
21203,365
21304,451
21404,409
21505,586
21606,508
21706,562
21807,403
21907,392
22007,469
22108,469
22209,406
22309,285
22410,326
22510,194
22610,154
22711,162
22812,206
22913,237
23013,246
23113,239
23214,218
23314,225
23415,228
23516,235
23616,232
23716,244
23817,245
23917,218
24018,212
24119,271
24219,284
24320,282
24420,307
24520,324
24622,371
24722,382
24822,319
24923,430
25023,606
25123,593
25224,514
25325,586
25425,542
25526,648
25626,629
25726,529
25827,408
25928,546
26029,317
26129,184
26229,178
26330,201
26430,220
26531,254
26632,241
26732,256
26832,239
26933,231
27033,231
27134,224
27235,238
27335,210
27436,233
27536,216
27636,258
27738,333
27838,472
27938,423
28039,413
28139,466
28239,388
28340,390
28441,336
28541,343
28642,298
28742,396
28843,446
28943,311
29044,406
29145,235
29245,159
29345,144
29446,159
29546,172
29647,200
29748,226
29848,225
29948,239
30049,246
30149,234
30251,217
30351,219
30451,215
30552,213
30652,222
30752,220
30854,222
30954,239
31054,291
31155,540
31255,515
31355,479
31457,506
31557,405
31657,432
31758,350
31858,293
31959,269
32060,381
32160,404
32261,386
32361,300
32461,276
32562,183
32662,143
32763,162
32864,159
32964,200
33064,220
