time,filtered_emg,gesture
0.0,-1,0
0.05,-1,0
0.1,-1,0
0.15,-1,0
0.2,4,0
0.251,7,0
0.302,8,0
0.352,9,0
0.402,9,0
0.453,9,0
0.503,10,0
0.553,10,0
0.604,11,0
0.655,11,0
0.705,10,0
0.755,9,0
0.805,8,0
0.857,10,0
0.907,12,0
0.957,14,0
1.007,15,0
1.058,15,0
1.108,14,0
1.159,16,0
1.21,17,0
1.26,19,0
1.31,21,0
1.36,21,0
1.412,20,0
1.462,19,0
1.512,18,0
1.563,18,0
1.613,18,0
1.664,16,0
1.715,16,0
1.765,15,0
1.815,16,0
1.865,17,0
1.916,21,0
1.967,23,0
2.017,29,0
2.068,31,1
2.118,30,1
2.168,33,1
2.219,32,1
2.27,32,1
2.32,34,1
2.37,31,1
2.421,30,1
2.471,27,0
2.522,23,0
2.572,23,0
2.623,26,0
2.673,34,1
2.723,40,1
2.775,48,1
2.825,45,1
2.875,44,1
2.926,43,1
2.976,45,1
3.026,44,1
3.077,47,1
3.128,49,1
3.178,44,1
3.228,40,1
3.279,34,1
3.33,32,1
3.38,35,1
3.43,31,1
3.481,30,1
3.531,29,0
3.581,24,0
3.633,23,0
3.683,18,0
3.733,18,0
3.783,23,0
3.834,29,0
3.885,32,1
3.935,38,1
3.986,37,1
4.036,39,1
4.086,45,1
4.137,49,1
4.188,55,1
4.238,58,1
4.288,53,1
4.339,47,1
4.389,43,1
4.44,38,1
4.491,42,1
4.541,39,1
4.591,35,1
4.641,31,1
4.692,29,0
4.743,28,0
4.793,32,1
4.844,37,1
4.894,40,1
4.944,42,1
4.995,42,1
5.046,42,1
5.096,42,1
5.146,40,1
5.197,35,1
5.248,31,1
5.298,28,0
5.349,23,0
5.399,20,0
5.449,17,0
5.499,14,0
5.551,13,0
5.601,11,0
5.651,11,0
5.702,9,0
5.752,8,0
5.803,6,0
5.853,6,0
5.904,5,0
5.954,5,0
6.004,6,0
6.055,6,0
6.106,7,0
6.156,7,0
6.206,8,0
6.257,9,0
6.307,9,0
6.358,8,0
6.409,8,0
6.459,7,0
6.509,8,0
6.56,8,0
6.61,9,0
6.661,9,0
6.711,8,0
6.762,7,0
6.812,6,0
6.862,7,0
6.914,7,0
6.964,8,0
7.014,8,0
7.064,7,0
7.115,7,0
7.165,7,0
7.216,7,0
7.267,8,0
7.317,8,0
7.367,7,0
7.417,8,0
7.469,8,0
7.519,9,0
7.569,9,0
7.62,8,0
7.67,9,0
7.72,10,0
7.772,11,0
7.822,13,0
7.872,17,0
7.922,18,0
7.973,21,0
8.024,24,0
8.074,29,0
8.125,29,0
8.175,27,0
8.225,27,0
8.275,27,0
8.327,24,0
8.377,23,0
8.427,23,0
8.478,22,0
8.528,18,0
8.579,15,0
8.629,20,0
8.68,20,0
8.73,24,0
8.78,24,0
8.832,25,0
8.882,23,0
8.932,22,0
8.983,19,0
9.033,21,0
9.083,22,0
9.134,21,0
9.185,23,0
9.235,21,0
9.285,26,0
9.336,34,1
9.387,39,1
9.437,49,1
9.487,52,1
9.538,50,1
9.588,48,1
9.638,53,1
9.69,58,1
9.74,60,1
9.79,57,1
9.84,50,1
9.891,47,1
9.942,39,1
9.992,37,1
10.043,64,1
10.093,90,1
10.143,85,1
10.194,89,1
10.245,88,1
10.295,93,1
10.346,101,1
10.396,114,1
10.446,113,1
10.498,123,1
10.548,97,1
10.598,71,1
10.649,73,1
10.699,75,1
10.749,78,1
10.801,86,1
10.851,90,1
10.901,84,1
10.952,96,1
11.002,95,1
11.053,106,1
11.104,119,1
11.154,127,1
11.204,129,1
11.255,136,1
11.305,132,1
11.356,126,1
11.407,123,1
11.457,112,1
11.507,104,1
11.558,94,1
11.609,82,1
11.659,71,1
11.71,63,1
11.76,53,1
11.81,50,1
11.862,49,1
11.912,53,1
11.962,55,1
12.013,55,1
12.063,55,1
12.113,54,1
12.165,51,1
12.215,47,1
12.265,41,1
12.316,34,1
12.366,26,0
12.417,17,0
12.468,14,0
12.518,11,0
12.568,9,0
12.619,9,0
12.669,8,0
12.72,7,0
12.771,7,0
12.821,7,0
12.871,7,0
12.922,7,0
12.973,8,0
13.023,7,0
13.074,7,0
13.124,6,0
13.174,7,0
13.225,7,0
13.276,9,0
13.326,8,0
13.377,8,0
13.427,8,0
13.477,7,0
13.529,7,0
13.579,7,0
13.629,7,0
13.68,6,0
13.73,6,0
13.78,5,0
13.832,5,0
13.882,6,0
13.932,6,0
13.983,6,0
14.033,8,0
14.084,8,0
14.135,9,0
14.185,9,0
14.235,9,0
14.286,10,0
14.337,11,0
14.387,10,0
14.438,10,0
14.488,10,0
14.538,9,0
14.589,10,0
14.64,10,0
14.69,11,0
14.741,11,0
14.791,9,0
14.841,8,0
14.893,10,0
14.943,10,0
14.993,9,0
15.044,11,0
15.094,13,0
15.144,14,0
15.196,13,0
15.246,14,0
15.296,20,0
15.347,22,0
15.397,24,0
15.448,26,0
15.499,30,1
15.549,33,1
15.599,30,1
15.65,35,1
15.7,41,1
15.751,44,1
15.802,41,1
15.852,43,1
15.902,48,1
15.953,55,1
16.004,59,1
16.054,66,1
16.105,75,1
16.155,83,1
16.205,87,1
16.257,84,1
16.307,82,1
16.357,80,1
16.408,72,1
16.458,66,1
16.508,64,1
16.56,56,1
16.61,53,1
16.66,46,1
16.711,40,1
16.761,37,1
16.812,39,1
16.863,42,1
16.913,48,1
16.963,52,1
17.014,49,1
17.064,49,1
17.115,46,1
17.166,39,1
17.216,41,1
17.266,45,1
17.317,48,1
17.368,47,1
17.418,42,1
17.469,36,1
17.519,34,1
17.569,36,1
17.62,39,1
17.671,48,1
17.721,43,1
17.772,46,1
17.822,45,1
17.872,43,1
17.924,46,1
17.974,48,1
18.024,52,1
18.075,47,1
18.125,40,1
18.176,35,1
18.227,41,1
18.277,33,1
18.327,37,1
18.378,44,1
18.428,46,1
18.479,53,1
18.53,60,1
18.58,69,1
18.63,81,1
18.681,82,1
18.732,79,1
18.782,85,1
18.833,79,1
18.883,73,1
18.933,69,1
18.984,61,1
19.035,52,1
19.085,46,1
19.136,37,1
19.186,37,1
19.236,37,1
19.288,35,1
19.338,34,1
19.388,32,1
19.439,28,0
19.489,27,0
19.539,24,0
19.591,22,0
19.641,19,0
19.691,15,0
19.742,13,0
19.792,11,0
19.843,12,0
19.894,11,0
19.944,12,0
19.994,12,0
20.045,12,0
20.096,11,0
20.146,11,0
20.197,10,0
20.247,9,0
20.297,7,0
20.348,6,0
20.399,6,0
20.449,6,0
20.5,6,0
20.55,6,0
20.6,6,0
20.652,5,0
20.702,6,0
20.752,6,0
20.803,6,0
20.853,6,0
20.903,6,0
20.955,7,0
21.005,8,0
21.055,7,0
21.106,7,0
21.156,9,0
21.207,10,0
21.258,12,0
21.308,14,0
21.358,17,0
21.409,25,0
21.459,35,1
21.51,38,1
21.561,45,1
21.611,47,1
21.661,47,1
21.712,48,1
21.763,46,1
21.813,46,1
21.864,46,1
21.914,45,1
21.964,43,1
22.016,42,1
22.066,44,1
22.116,49,1
22.167,61,1
22.217,71,1
22.267,83,1
22.319,86,1
22.369,90,1
22.419,84,1
22.47,85,1
22.52,92,1
