time,filtered_emg,gesture
21.304,34,Muscle is at relax
21.404,40,Muscle is at relax
21.505,57,Muscle is at relax
21.606,66,Muscle is at relax
21.706,80,Muscle is at relax
21.807,78,Muscle is at relax
21.907,81,Muscle is at relax
22.007,80,Muscle is at relax
22.108,82,Muscle is at relax
22.209,82,Muscle is at relax
22.309,84,Muscle is at relax
22.41,86,Muscle is at relax
22.51,83,Muscle is at relax
22.61,89,Muscle is at relax
22.711,89,Muscle is at relax
22.812,99,Muscle is at relax
22.913,95,Muscle is at relax
23.013,93,Muscle is at relax
23.113,91,Muscle is at relax
23.214,85,Muscle is at relax
23.314,73,Muscle is at relax
23.415,66,Muscle is at relax
23.516,53,Muscle is at relax
23.616,38,Muscle is at relax
23.716,24,Muscle is at relax
23.817,15,Muscle is at relax
23.917,12,Muscle is at relax
24.018,13,Muscle is at relax
24.119,16,Muscle is at relax
24.219,17,Muscle is at relax
24.32,18,Muscle is at relax
24.42,21,Muscle is at relax
24.52,25,Muscle is at relax
24.622,33,Muscle is at relax
24.722,41,Muscle is at relax
24.822,40,Muscle is at relax
24.923,46,Muscle is at relax
25.023,61,Muscle is at relax
25.123,71,Muscle is at relax
25.224,73,Muscle is at relax
25.325,82,Muscle is at relax
25.425,85,Muscle is at relax
25.526,96,Muscle is at relax
25.626,97,Muscle is at relax
25.726,94,Muscle is at relax
25.827,105,Muscle is activated
25.928,99,Muscle is at relax
26.029,100,Muscle is activated
26.129,109,Muscle is activated
26.229,127,Muscle is activated
26.33,135,Muscle is activated
26.43,142,Muscle is activated
26.531,136,Muscle is activated
26.632,139,Muscle is activated
26.732,135,Muscle is activated
26.832,125,Muscle is activated
26.933,124,Muscle is activated
27.033,108,Muscle is activated
27.134,86,Muscle is at relax
27.235,63,Muscle is at relax
27.335,45,Muscle is at relax
27.436,31,Muscle is at relax
27.536,21,Muscle is at relax
27.636,11,Muscle is at relax
27.738,17,Muscle is at relax
27.838,27,Muscle is at relax
27.938,34,Muscle is at relax
28.039,41,Muscle is at relax
28.139,52,Muscle is at relax
28.239,56,Muscle is at relax
28.34,56,Muscle is at relax
28.441,63,Muscle is at relax
28.541,68,Muscle is at relax
28.642,74,Muscle is at relax
28.742,70,Muscle is at relax
28.843,63,Muscle is at relax
28.943,61,Muscle is at relax
29.044,57,Muscle is at relax
29.145,55,Muscle is at relax
29.245,65,Muscle is at relax
29.345,78,Muscle is at relax
29.446,85,Muscle is at relax
29.546,91,Muscle is at relax
29.647,90,Muscle is at relax
29.748,94,Muscle is at relax
29.848,91,Muscle is at relax
29.948,89,Muscle is at relax
30.049,91,Muscle is at relax
30.149,84,Muscle is at relax
30.251,70,Muscle is at relax
30.351,55,Muscle is at relax
30.451,43,Muscle is at relax
30.552,33,Muscle is at relax
30.652,26,Muscle is at relax
30.752,22,Muscle is at relax
30.854,19,Muscle is at relax
30.954,15,Muscle is at relax
31.054,14,Muscle is at relax
31.155,27,Muscle is at relax
31.255,40,Muscle is at relax
31.355,50,Muscle is at relax
31.457,61,Muscle is at relax
31.557,62,Muscle is at relax
31.657,65,Muscle is at relax
31.758,71,Muscle is at relax
31.858,83,Muscle is at relax
31.959,94,Muscle is at relax
32.06,91,Muscle is at relax
32.16,76,Muscle is at relax
32.261,66,Muscle is at relax
32.361,61,Muscle is at relax
32.461,54,Muscle is at relax
32.562,63,Muscle is at relax
32.662,72,Muscle is at relax
32.763,76,Muscle is at relax
32.864,75,Muscle is at relax
32.964,70,Muscle is at relax
33.064,69,Muscle is at relax
33.165,70,Muscle is at relax
33.265,71,Muscle is at relax
33.367,69,Muscle is at relax
33.467,64,Muscle is at relax
33.567,53,Muscle is at relax
33.668,42,Muscle is at relax
33.768,33,Muscle is at relax
33.868,23,Muscle is at relax
33.97,18,Muscle is at relax
34.07,18,Muscle is at relax
34.17,16,Muscle is at relax
34.271,12,Muscle is at relax
34.371,10,Muscle is at relax
34.471,9,Muscle is at relax
34.573,9,Muscle is at relax
34.673,7,Muscle is at relax
34.774,7,Muscle is at relax
34.874,6,Muscle is at relax
34.974,15,Muscle is at relax
35.075,26,Muscle is at relax
35.175,37,Muscle is at relax
35.276,50,Muscle is at relax
35.377,64,Muscle is at relax
35.477,67,Muscle is at relax
35.577,68,Muscle is at relax
35.678,78,Muscle is at relax
35.778,81,Muscle is at relax
35.879,87,Muscle is at relax
35.98,84,Muscle is at relax
36.08,87,Muscle is at relax
36.18,76,Muscle is at relax
36.281,76,Muscle is at relax
36.381,80,Muscle is at relax
36.483,97,Muscle is at relax
36.583,116,Muscle is activated
36.683,126,Muscle is activated
36.784,137,Muscle is activated
36.884,136,Muscle is activated
36.984,130,Muscle is activated
37.086,121,Muscle is activated
37.186,123,Muscle is activated
37.286,112,Muscle is activated
37.387,93,Muscle is at relax
37.487,73,Muscle is at relax
37.587,53,Muscle is at relax
37.689,37,Muscle is at relax
37.789,25,Muscle is at relax
37.89,21,Muscle is at relax
37.99,22,Muscle is at relax
38.09,18,Muscle is at relax
38.191,16,Muscle is at relax
38.292,17,Muscle is at relax
38.392,20,Muscle is at relax
38.493,21,Muscle is at relax
38.593,26,Muscle is at relax
38.693,28,Muscle is at relax
38.794,34,Muscle is at relax
38.895,33,Muscle is at relax
38.995,36,Muscle is at relax
39.096,36,Muscle is at relax
39.196,39,Muscle is at relax
39.297,43,Muscle is at relax
39.397,41,Muscle is at relax
39.497,46,Muscle is at relax
39.599,39,Muscle is at relax
39.699,40,Muscle is at relax
39.799,36,Muscle is at relax
39.9,44,Muscle is at relax
40.0,50,Muscle is at relax
40.1,57,Muscle is at relax
40.202,60,Muscle is at relax
40.302,60,Muscle is at relax
40.402,64,Muscle is at relax
40.503,59,Muscle is at relax
40.603,59,Muscle is at relax
40.704,59,Muscle is at relax
40.805,60,Muscle is at relax
40.905,53,Muscle is at relax
41.006,43,Muscle is at relax
41.106,37,Muscle is at relax
41.206,32,Muscle is at relax
41.307,32,Muscle is at relax
41.408,29,Muscle is at relax
41.508,31,Muscle is at relax
41.609,32,Muscle is at relax
41.709,31,Muscle is at relax
41.809,47,Muscle is at relax
41.91,57,Muscle is at relax
42.011,67,Muscle is at relax
