time,filtered_emg,gesture
22.108,38,Hand is Moving
22.208,30,Hand is at Rest
22.308,28,Hand is at Rest
22.409,29,Hand is at Rest
22.51,27,Hand is at Rest
22.61,26,Hand is at Rest
22.711,24,Hand is at Rest
22.811,25,Hand is at Rest
22.912,30,Hand is at Rest
23.012,32,Hand is at Rest
23.112,33,Hand is at Rest
23.214,32,Hand is at Rest
23.314,31,Hand is at Rest
23.414,31,Hand is at Rest
23.515,33,Hand is at Rest
23.615,37,Hand is at Rest
23.715,44,Hand is Moving
23.817,48,Hand is Moving
23.917,47,Hand is Moving
24.017,48,Hand is Moving
24.118,50,Hand is Moving
24.218,48,Hand is Moving
24.318,50,Hand is Moving
24.42,49,Hand is Moving
24.52,46,Hand is Moving
24.621,45,Hand is Moving
24.721,40,Hand is Moving
24.821,38,Hand is Moving
24.922,37,Hand is at Rest
25.023,36,Hand is at Rest
25.123,37,Hand is at Rest
25.224,40,Hand is Moving
25.324,39,Hand is Moving
25.424,38,Hand is Moving
25.525,40,Hand is Moving
25.626,41,Hand is Moving
25.726,40,Hand is Moving
25.827,36,Hand is at Rest
25.927,35,Hand is at Rest
26.028,39,Hand is Moving
26.128,39,Hand is Moving
26.228,55,Hand is Moving
26.33,74,Hand is Moving
26.43,97,Hand is Moving
26.53,112,Hand is Moving
26.631,114,Hand is Moving
26.731,131,Hand is Moving
26.831,143,Hand is Moving
26.933,163,Hand is Moving
27.033,183,Hand is Moving
27.133,201,Hand is Moving
27.234,197,Hand is Moving
27.334,189,Hand is Moving
27.435,186,Hand is Moving
27.536,177,Hand is Moving
27.636,173,Hand is Moving
27.737,159,Hand is Moving
27.837,150,Hand is Moving
27.937,131,Hand is Moving
28.038,107,Hand is Moving
28.139,81,Hand is Moving
28.239,67,Hand is Moving
28.34,57,Hand is Moving
28.44,34,Hand is at Rest
28.54,24,Hand is at Rest
28.641,24,Hand is at Rest
28.742,25,Hand is at Rest
28.843,26,Hand is at Rest
28.943,27,Hand is at Rest
29.043,33,Hand is at Rest
29.144,37,Hand is at Rest
29.244,44,Hand is Moving
29.344,45,Hand is Moving
29.446,53,Hand is Moving
29.546,59,Hand is Moving
29.646,68,Hand is Moving
29.747,69,Hand is Moving
29.847,75,Hand is Moving
29.947,79,Hand is Moving
30.049,74,Hand is Moving
30.149,80,Hand is Moving
30.249,76,Hand is Moving
30.35,79,Hand is Moving
30.45,82,Hand is Moving
30.551,87,Hand is Moving
30.652,91,Hand is Moving
30.752,95,Hand is Moving
30.853,85,Hand is Moving
30.953,86,Hand is Moving
31.053,92,Hand is Moving
31.154,85,Hand is Moving
31.255,85,Hand is Moving
31.355,82,Hand is Moving
31.456,76,Hand is Moving
31.556,68,Hand is Moving
31.656,54,Hand is Moving
31.757,44,Hand is Moving
31.858,44,Hand is Moving
31.959,34,Hand is at Rest
32.059,28,Hand is at Rest
32.159,24,Hand is at Rest
32.26,21,Hand is at Rest
32.36,18,Hand is at Rest
32.461,14,Hand is at Rest
32.562,13,Hand is at Rest
32.662,12,Hand is at Rest
32.762,14,Hand is at Rest
32.863,14,Hand is at Rest
32.963,14,Hand is at Rest
33.064,13,Hand is at Rest
33.165,13,Hand is at Rest
33.265,10,Hand is at Rest
33.366,10,Hand is at Rest
33.466,10,Hand is at Rest
